sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason
電子,baseline,3661.TW,2020-05-15,2020-06-09,282.7152099609375,340.2086181640625,20.336156732094043,10279.898680513412,25,停利
電子,baseline,2376.TW,2020-06-05,2020-06-09,51.37044906616211,47.2072868347168,-8.10419668724991,-4082.6777758385215,4,停損
電子,baseline,3443.TW,2020-06-23,2020-06-30,228.2902069091797,237.70423889160156,4.123712580525648,1764.0432677747085,7,賣出信號
電子,baseline,3443.TW,2020-07-03,2020-07-07,267.82916259765625,302.6610412597656,13.005259891894305,6205.641878628994,4,賣出信號
電子,baseline,2395.TW,2020-07-03,2020-07-07,225.67910766601562,233.18978881835938,3.328035647614696,1300.9409148912746,4,賣出信號
電子,baseline,2353.TW,2020-07-17,2020-07-21,14.542217254638672,15.798480033874512,8.638729275173754,4053.5821134523794,4,賣出信號
電子,baseline,3017.TW,2020-06-02,2020-07-22,36.217918395996094,45.424381256103516,25.419635550134767,12278.82546479725,50,停利
電子,baseline,6669.TW,2020-08-10,2020-08-20,718.345458984375,645.4822387695312,-10.143200503816177,-5467.475386279133,10,停損
電子,baseline,2376.TW,2020-08-18,2020-08-20,70.03948974609375,63.98573303222656,-8.643347825367071,-4467.782726696263,2,停損
電子,baseline,2395.TW,2020-07-31,2020-09-09,248.7093963623047,227.78240966796875,-8.41423243368368,-4828.304029996019,40,停損
電子,baseline,2376.TW,2020-11-20,2020-11-23,60.92055892944336,61.227073669433594,0.5031384238369052,-44.68192317625653,3,賣出信號
電子,baseline,2317.TW,2020-12-07,2021-01-06,72.35043334960938,86.4254379272461,19.453932652516325,9980.2456105218,30,賣出信號
電子,baseline,2308.TW,2021-01-05,2021-01-08,248.6345672607422,278.75848388671875,12.115739560213974,5793.006250288963,3,賣出信號
