sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason,entry_score,entry_indicators
半導體,B_技術+盤勢,2330.TW,2022-05-31,2022-06-14,520.05322265625,476.4059753417969,-8.392842388615197,-5351.05725135906,14,停損,63.9,"MACD,EMA Cross,Volume"
半導體,B_技術+盤勢,3034.TW,2022-05-31,2022-06-15,275.9439392089844,253.1751708984375,-8.251229715649995,-5002.9673150049275,15,停損,53.4,"MACD,EMA Cross,Volume"
半導體,B_技術+盤勢,2454.TW,2022-06-06,2022-06-17,667.7070922851562,613.1100463867188,-8.176795862926204,-4712.440890059923,11,停損,54.47452315490016,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2022-07-21,2022-07-26,35.512046813964844,32.027217864990234,-9.813089533336127,-6094.561472454407,5,停損,56.9,"MACD,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2022-07-21,2022-08-24,580.8025512695312,541.0549926757812,-6.843557850575707,-4584.012424045126,34,賣出信號,56.9,"MACD,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2022-08-11,2022-09-05,77.5801773071289,71.3390884399414,-8.044695286632196,-5032.13507656342,25,停損,50.50329192943094,"MACD,EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,3034.TW,2022-10-17,2022-11-15,204.23928833007812,246.89166259765625,20.88353059605562,12361.098748871926,29,停利,56.9,"MACD,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2022-10-18,2022-11-15,476.97198486328125,585.6696166992188,22.789101935849434,12844.626923195581,28,停利,53.4,"MACD,ADX"
半導體,B_技術+盤勢,3711.TW,2022-11-01,2022-11-24,69.34540557861328,83.56121826171875,20.500006546201163,10395.489718763369,23,停利,74.39999999999999,"MACD,EMA Cross,ADX"
半導體,B_技術+盤勢,2379.TW,2022-11-24,2022-11-29,297.666259765625,272.9330749511719,-8.309032012538948,-4638.612799559669,5,停損,63.7,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2022-11-16,2022-11-30,482.84356689453125,437.1822509765625,-9.45675143020859,-5455.093225486169,14,停損,68.1,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2022-11-11,2022-12-07,414.6088562011719,446.0683898925781,7.587762109003722,3471.5252375462005,26,賣出信號,74.39999999999999,"MACD,EMA Cross,ADX"
半導體,B_技術+盤勢,2303.TW,2022-10-20,2022-12-08,32.77396774291992,35.26313018798828,7.594937740201099,3851.085986500846,49,賣出信號,51.3,"MACD,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2022-11-29,2022-12-20,272.9330749511719,248.6337890625,-8.903019867789586,-4926.397724161827,21,停損,51.864999999999995,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,6415.TW,2022-12-01,2022-12-20,480.9005432128906,440.5826110839844,-8.383840005574259,-4410.832409950628,19,停損,69.115,"MACD,EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2344.TW,2022-11-22,2022-12-28,20.44930648803711,18.499488830566406,-9.534884024606658,-5222.259030370791,36,停損,54.8,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2023-01-10,2023-01-31,459.02545166015625,493.02734375,7.407408884816559,3685.12040338535,21,賣出信號,55.775,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2022-12-02,2023-02-02,245.25120544433594,296.10595703125,20.73578048058012,9409.90535059986,62,停利,52.324999999999996,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2303.TW,2023-01-09,2023-02-22,36.92257308959961,41.1126594543457,11.348305424375644,6121.096009437344,44,賣出信號,57.49999999999999,"MACD,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2023-01-30,2023-03-13,561.5363159179688,495.4732666015625,-11.764697570523111,-6022.95058415219,42,停損,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2023-02-02,2023-03-14,510.0282897949219,481.6933898925781,-5.555554558304399,-3043.9581027173117,40,賣出信號,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2023-02-01,2023-03-17,285.9505310058594,344.9631042480469,20.637336477258817,9865.946851401364,44,停利,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2023-02-02,2023-03-17,296.10595703125,356.3934326171875,20.360102238529084,9306.789296018309,43,停利,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2023-02-13,2023-04-11,21.25776481628418,25.58540916442871,20.35794631065542,8839.822752497079,57,停利,56.11999999999999,"EMA Cross,Volume,ADX,Stoch RSI,Pullback Support"
半導體,B_技術+盤勢,3711.TW,2022-11-30,2023-04-13,84.25466918945312,89.71562194824219,6.48148382911538,3050.485207521975,134,賣出信號,68.53999999999999,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2454.TW,2023-01-30,2023-04-19,599.459716796875,547.5443725585938,-8.660355780982794,-4746.967612582055,79,停損,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2023-03-17,2023-04-21,344.9631042480469,318.4942321777344,-7.672957410332199,-4426.695987479274,35,賣出信號,52.324999999999996,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2303.TW,2023-02-24,2023-04-25,41.444549560546875,40.241455078125,-2.9029015761511867,-1592.599486455445,60,賣出信號,52.01725108293001,"EMA Cross,Volume,ADX,Stoch RSI,Pullback Support"
半導體,B_技術+盤勢,3034.TW,2023-04-11,2023-04-25,380.18035888671875,335.4773864746094,-11.758359254279464,-6615.453491432287,14,停損,61.1,"MACD,EMA Cross,Volume,ADX"
